cycle_index,t_start,t_end,cycle_duration_nominal,sample_count,theta0_rad,theta_start_rad,theta_end_rad,max_abs_vel_rad_s,mean_abs_vel_rad_s,rms_vel_rad_s,mean_vel_rad_s,max_abs_delta_theta_rad,mean_abs_delta_theta_rad,rms_delta_theta_rad,ptp_theta_rad,vel_bound_rad_s,satisfy_vel_bound,angle_margin_ratio
988,1774257676.5868902,1774257676.6368902,0.05,5,-0.25039608898607035,-0.25039608898607035,-0.21627430513750295,6.580299661649071,5.0738791652636515,5.2078757085226774,1.1224046521977749,0.11109586023621557,0.052773493421720594,0.06442794208183504,0.11109586023621557,0.9,0,2.4687968941381233
989,1774257676.6368902,1774257676.6868901,0.05,5,-0.2263056187718283,-0.2263056187718283,-0.16328717026745193,7.526527273781067,2.8985296505390696,3.971077590623916,1.7658862206179056,0.07996001248299006,0.03134725155840742,0.04573803212690994,0.08720700025848155,0.9,0,1.7768891662886679
990,1774257676.6868901,1774257676.73689,0.05,5,-0.19034047663716064,-0.19034047663716064,-0.18357108103129746,3.286381993455399,2.440006952174859,2.5451017214308362,0.13878788658522567,0.03271413349884744,0.014074532316446259,0.018320634886296067,0.03948352910471062,0.9,0,0.726980744418832
991,1774257676.73689,1774257676.78689,0.05,5,-0.17593508585082854,-0.17593508585082854,-0.30335079790681585,5.595125999450317,3.177179656277455,3.645150053027312,-3.177179656277455,0.1274157120559873,0.0638585007324348,0.0817694919195263,0.1274157120559873,0.9,0,2.831460267910829
992,1774257676.78689,1774257676.83689,0.05,5,-0.29919433310369137,-0.29919433310369137,-0.39556569074458003,8.883158958459346,2.962806164559264,4.583982453152618,-2.5964961588088413,0.09637135764088867,0.02434839248764281,0.04397218585722698,0.10223503380668864,0.9,0,2.1415857253530812
993,1774257676.8368902,1774257676.8868902,0.05,5,-0.3970501442506091,-0.3970501442506091,-0.4356814015265279,1.8593233916036835,1.1791913841179866,1.2964066559227951,-0.9544119478817666,0.043158782303219734,0.027498475871513495,0.03157023930586895,0.043158782303219734,0.9,0,0.9590840511826606
994,1774257676.8868902,1774257676.9368901,0.05,4,-0.4758545774736088,-0.4758545774736088,-0.48168974928973246,2.4749086800180202,1.8461532399163982,1.9057739390572932,-0.19621411990438467,0.030707558433812676,0.012486192714524239,0.017004544007062427,0.030707558433812676,0.9,0,0.6823901874180593
995,1774257676.9368901,1774257676.98689,0.05,6,-0.488752801563339,-0.488752801563339,-0.48422164312984944,8.530354318707058,4.012148735354174,4.869611660462262,-0.9009077830747948,0.07774239802720195,0.02896621235038348,0.0402076562161791,0.08844254931942697,0.9,0,1.7276088450489322
996,1774257676.98689,1774257677.03689,0.05,5,-0.4381996635101509,-0.4381996635101509,-0.36470781798093044,4.2168024962229165,2.8639842018741013,3.0301463644088247,1.9185731279061273,0.09181129486471762,0.04663602653646211,0.05831367923375999,0.09181129486471762,0.9,0,2.040250996993725
997,1774257677.03689,1774257677.08689,0.05,5,-0.37235350657176025,-0.37235350657176025,-0.18519934347336225,12.56820112881275,7.209426620954941,8.201666297138713,4.809394734208043,0.24283269825179177,0.1130936413136635,0.1462631227995687,0.24283269825179177,0.9,0,5.39628218337315
998,1774257677.0868902,1774257677.1368902,0.05,5,-0.18759053047444665,-0.18759053047444665,-0.063606443864864,5.016217815952597,3.096394423814616,3.4384753350107253,3.096394423814616,0.12398408660958266,0.06645723903276898,0.08201657432050696,0.12398408660958266,0.9,0,2.755201924657392
